iteration,hard,exp1,exp2,exp3,exp4,
1.0,0.0,100.0,100.0,100.0,100.0,
2.0,50.0,100.0,100.0,100.0,100.0,
3.0,37.5,100.0,100.0,100.0,100.0,
4.0,44.44444444444444,100.0,100.0,100.0,100.0,
5.0,35.71428571428571,85.71428571428572,85.71428571428572,85.71428571428572,85.71428571428572,
6.0,29.411764705882348,76.47058823529412,76.47058823529412,76.47058823529412,76.47058823529412,
7.0,29.629629629629626,74.07407407407408,74.07407407407408,74.07407407407408,74.07407407407408,
8.0,29.032258064516125,77.41935483870968,77.41935483870968,77.41935483870968,77.41935483870968,
9.0,30.303030303030297,78.78787878787878,78.78787878787878,78.78787878787878,78.78787878787878,
10.0,32.55813953488372,76.74418604651163,76.74418604651163,76.74418604651163,76.74418604651163,
11.0,35.55555555555555,77.77777777777779,77.77777777777779,77.77777777777779,77.77777777777779,
12.0,34.693877551020414,77.55102040816327,77.55102040816327,77.55102040816327,77.55102040816327,
13.0,33.333333333333336,78.94736842105263,78.94736842105263,78.94736842105263,78.94736842105263,
14.0,31.666666666666664,76.66666666666666,76.66666666666666,76.66666666666666,76.66666666666666,
15.0,32.8125,75.0,75.0,75.0,75.0,
16.0,35.29411764705882,76.47058823529412,76.47058823529412,76.47058823529412,76.47058823529412,
17.0,33.80281690140845,76.05633802816901,76.05633802816901,76.05633802816901,76.05633802816901,
18.0,32.432432432432435,74.32432432432432,74.32432432432432,74.32432432432432,74.32432432432432,
19.0,35.71428571428571,72.61904761904762,72.61904761904762,72.61904761904762,72.61904761904762,
20.0,36.47058823529412,72.94117647058825,72.94117647058825,72.94117647058825,72.94117647058825,
21.0,35.22727272727273,72.72727272727273,72.72727272727273,72.72727272727273,72.72727272727273,
22.0,34.8314606741573,71.91011235955057,71.91011235955057,71.91011235955057,71.91011235955057,
23.0,35.16483516483516,72.52747252747253,72.52747252747253,72.52747252747253,72.52747252747253,
24.0,35.86956521739131,72.82608695652173,72.82608695652173,72.82608695652173,72.82608695652173,
25.0,35.1063829787234,73.40425531914893,73.40425531914893,73.40425531914893,73.40425531914893,
26.0,35.051546391752574,74.22680412371135,74.22680412371135,74.22680412371135,74.22680412371135,
27.0,34.65346534653465,75.24752475247524,75.24752475247524,75.24752475247524,75.24752475247524,
28.0,35.29411764705882,75.49019607843137,75.49019607843137,75.49019607843137,75.49019607843137,
29.0,34.285714285714285,73.33333333333334,73.33333333333334,73.33333333333334,73.33333333333334,
30.0,33.944954128440365,74.31192660550458,74.31192660550458,74.31192660550458,74.31192660550458,
31.0,33.92857142857143,74.10714285714286,74.10714285714286,74.10714285714286,74.10714285714286,
32.0,33.620689655172406,75.0,75.0,75.0,75.0,
33.0,35.77235772357723,75.60975609756098,75.60975609756098,75.60975609756098,75.60975609756098,
34.0,35.483870967741936,75.80645161290323,75.80645161290323,75.80645161290323,75.80645161290323,
35.0,34.883720930232556,75.96899224806202,75.96899224806202,75.96899224806202,75.96899224806202,
36.0,34.09090909090909,75.75757575757575,75.75757575757575,75.75757575757575,75.75757575757575,
37.0,34.306569343065696,76.64233576642336,76.64233576642336,76.64233576642336,76.64233576642336,
38.0,35.251798561151084,76.97841726618705,76.97841726618705,76.97841726618705,76.97841726618705,
39.0,35.66433566433567,76.92307692307692,76.92307692307692,76.92307692307692,76.92307692307692,
40.0,34.93150684931506,76.02739726027397,76.02739726027397,76.02739726027397,76.02739726027397,
41.0,34.66666666666667,75.33333333333333,75.33333333333333,75.33333333333333,75.33333333333333,
42.0,35.526315789473685,75.6578947368421,75.6578947368421,75.6578947368421,75.6578947368421,
43.0,35.064935064935064,75.97402597402598,75.97402597402598,75.97402597402598,75.97402597402598,
44.0,35.483870967741936,76.12903225806451,76.12903225806451,76.12903225806451,76.12903225806451,
45.0,35.44303797468354,75.9493670886076,75.9493670886076,75.9493670886076,75.9493670886076,
46.0,34.337349397590366,75.30120481927712,75.30120481927712,75.30120481927712,75.30120481927712,
47.0,34.13173652694611,75.44910179640718,75.44910179640718,75.44910179640718,75.44910179640718,
48.0,34.104046242774565,75.72254335260115,75.72254335260115,75.72254335260115,75.72254335260115,
49.0,34.65909090909091,76.13636363636364,76.13636363636364,76.13636363636364,76.13636363636364,
50.0,34.0782122905028,76.53631284916202,76.53631284916202,76.53631284916202,76.53631284916202,
