iteration,hard,exp1,exp2,exp3,exp4,
1.0,-6.015190607833176E-5,-2.6173093672809955E-5,-2.6173093672809955E-5,-2.6173093672809955E-5,-2.6173093672809955E-5,
2.0,5.658100207996952E-4,6.753433862760616E-4,6.753433862760616E-4,6.753433862760616E-4,6.753433862760616E-4,
3.0,7.525484377346459E-5,5.705930999049258E-4,5.705930999049258E-4,5.705930999049258E-4,5.705930999049258E-4,
4.0,3.129045263019492E-4,3.128653642567869E-4,3.128653642567869E-4,3.128653642567869E-4,3.128653642567869E-4,
5.0,-8.275096655019354E-6,3.005300338099204E-4,3.005300338099204E-4,3.005300338099204E-4,3.005300338099204E-4,
6.0,-2.040458856269467E-4,-1.4377792289010927E-4,-1.4377792289010927E-4,-1.4377792289010927E-4,-1.4377792289010927E-4,
7.0,2.481397335429847E-5,2.1891264674067656E-4,2.1891264674067656E-4,2.1891264674067656E-4,2.1891264674067656E-4,
8.0,2.2013565827094794E-5,1.1911454015400835E-4,1.1911454015400835E-4,1.1911454015400835E-4,1.1911454015400835E-4,
9.0,2.008825589090435E-4,2.333243951140318E-4,2.333243951140318E-4,2.333243951140318E-4,2.333243951140318E-4,
10.0,6.351035714429187E-4,9.267793134712932E-4,9.267793134712932E-4,9.267793134712932E-4,9.267793134712932E-4,
11.0,5.243279797362277E-4,5.241294108220274E-4,5.241294108220274E-4,5.241294108220274E-4,5.241294108220274E-4,
12.0,1.4295109014650365E-4,2.4685658613865513E-4,2.4685658613865513E-4,2.4685658613865513E-4,2.4685658613865513E-4,
13.0,-4.2003226747411304E-5,2.4979223069543366E-4,2.4979223069543366E-4,2.4979223069543366E-4,2.4979223069543366E-4,
14.0,-2.0430734282239627E-4,-1.7608378618838572E-4,-1.7608378618838572E-4,-1.7608378618838572E-4,-1.7608378618838572E-4,
15.0,3.98580041221841E-4,3.9962654031455713E-4,3.9962654031455713E-4,3.9962654031455713E-4,3.9962654031455713E-4,
16.0,5.142280417240741E-4,6.491908777181976E-4,6.491908777181976E-4,6.491908777181976E-4,6.491908777181976E-4,
17.0,-1.869903781823723E-4,2.8668652317875853E-5,2.8668652317875853E-5,2.8668652317875853E-5,2.8668652317875853E-5,
18.0,-2.042325756468344E-4,-6.0759625924333704E-5,-6.0759625924333704E-5,-6.0759625924333704E-5,-6.0759625924333704E-5,
19.0,9.421954435699931E-4,9.705372697617065E-4,9.705372697617065E-4,9.705372697617065E-4,9.705372697617065E-4,
20.0,2.4348488736958274E-4,2.433280498150836E-4,2.433280498150836E-4,2.433280498150836E-4,2.433280498150836E-4,
21.0,-1.7552077660631937E-4,3.92080032591835E-5,3.92080032591835E-5,3.92080032591835E-5,3.92080032591835E-5,
22.0,-7.16727041147891E-5,-6.82485238714392E-5,-6.82485238714392E-5,-6.82485238714392E-5,-6.82485238714392E-5,
23.0,1.2695148292340974E-4,1.425141250939177E-4,1.425141250939177E-4,1.425141250939177E-4,1.425141250939177E-4,
24.0,1.8097876810774238E-4,1.8080775264994742E-4,1.8080775264994742E-4,1.8080775264994742E-4,1.8080775264994742E-4,
25.0,-1.0281692426161726E-4,2.51070094269501E-4,2.51070094269501E-4,2.51070094269501E-4,2.51070094269501E-4,
26.0,-4.00620924869699E-5,1.4423982226396959E-5,1.4423982226396959E-5,1.4423982226396959E-5,1.4423982226396959E-5,
27.0,4.265702078143363E-5,3.4246555851957794E-4,3.4246555851957794E-4,3.4246555851957794E-4,3.4246555851957794E-4,
28.0,3.112900372306271E-4,3.1107597042279167E-4,3.1107597042279167E-4,3.1107597042279167E-4,3.1107597042279167E-4,
29.0,-2.1672232928526824E-4,-2.1270597681777303E-4,-2.1270597681777303E-4,-2.1270597681777303E-4,-2.1270597681777303E-4,
30.0,8.364346143441281E-5,2.9002167362968123E-4,2.9002167362968123E-4,2.9002167362968123E-4,2.9002167362968123E-4,
31.0,6.957816469643774E-5,3.046063605349758E-4,3.046063605349758E-4,3.046063605349758E-4,3.046063605349758E-4,
32.0,2.668812788453323E-5,1.179961072477198E-4,1.179961072477198E-4,1.179961072477198E-4,1.179961072477198E-4,
33.0,0.0011163976063199854,0.0011875922148325557,0.0011875922148325557,0.0011875922148325557,0.0011875922148325557,
34.0,-5.917328726212645E-5,6.406151464144472E-5,6.406151464144472E-5,6.406151464144472E-5,6.406151464144472E-5,
35.0,-2.1531681931641344E-5,2.372735751539068E-4,2.372735751539068E-4,2.372735751539068E-4,2.372735751539068E-4,
36.0,-1.756471834797324E-4,2.551620750868011E-5,2.551620750868011E-5,2.551620750868011E-5,2.551620750868011E-5,
37.0,3.0956476476440287E-4,7.3114137632313E-4,7.3114137632313E-4,7.3114137632313E-4,7.3114137632313E-4,
38.0,3.874944824424631E-4,3.8687118117231023E-4,3.8687118117231023E-4,3.8687118117231023E-4,3.8687118117231023E-4,
39.0,4.636422476522739E-4,6.240200345644098E-4,6.240200345644098E-4,6.240200345644098E-4,6.240200345644098E-4,
40.0,-2.0076439504190802E-4,-1.6154634721843308E-4,-1.6154634721843308E-4,-1.6154634721843308E-4,-1.6154634721843308E-4,
41.0,-9.585122808974944E-5,3.44603238744412E-6,3.44603238744412E-6,3.44603238744412E-6,3.44603238744412E-6,
42.0,4.6182767625690957E-4,4.6116861680101096E-4,4.6116861680101096E-4,4.6116861680101096E-4,4.6116861680101096E-4,
43.0,-1.2400386222211068E-4,4.308218101733985E-5,4.308218101733985E-5,4.308218101733985E-5,4.308218101733985E-5,
44.0,2.579055299687383E-4,2.5756594869541516E-4,2.5756594869541516E-4,2.5756594869541516E-4,2.5756594869541516E-4,
45.0,4.247928165312942E-5,7.957942127845286E-5,7.957942127845286E-5,7.957942127845286E-5,7.957942127845286E-5,
46.0,-1.9076325046629705E-4,6.812738525576734E-4,6.812738525576734E-4,6.812738525576734E-4,6.812738525576734E-4,
